xflr5 v6.57,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
.plane,,,,,,,,,,,,,,,
T1-17.0 m/s-Panel,,,,,,,,,,,,,,,
QInf  =,17,m/s,,,,,,,,,,,,,
Alpha = ,3,,,,,,,,,,,,,,
Beta  = ,   0.000°,,,,,,,,,,,,,,
Phi   = ,   0.000°,,,,,,,,,,,,,,
Ctrl  = ,0,,,,,,,,,,,,,,
CL    = ,0.887273,,,,,,,,,,,,,,
Cy    = ,0,,,,,,,,,,,,,,
Cd=,0.06138,ICd=,0.048965,PCd=,0.012415,,,,,,,,,,
-0.7142,0.3186,-3.453,0.772142,0.012385,0.046588,-0.464532,-0.177041,0.4678,0.2828,0.4836,0.4932,-,-0.7142,0.772142,0.3186
-0.6719,0.3228,-3.2,0.810857,0.011677,0.045328,-0.479712,-0.181871,0.524,0.3505,0.4772,0.8001,-,-0.6719,0.810857,0.3228
-0.6267,0.3273,-2.995,0.84331,0.011166,0.044125,-0.490523,-0.185569,0.5698,0.4052,0.4719,1.2244,-,-0.6267,0.84331,0.3273
-0.5789,0.3321,-2.831,0.870358,0.011149,0.04304,-0.497827,-0.188446,0.5631,0.413,0.4674,1.7853,-,-0.5789,0.870358,0.3321
-0.5292,0.3371,-2.7,0.892769,0.011168,0.042104,-0.502373,-0.19073,0.5552,0.4172,0.4637,2.4987,-,-0.5292,0.892769,0.3371
-0.4781,0.3422,-2.6,0.911204,0.011192,0.041378,-0.504904,-0.192587,0.5475,0.4207,0.4606,3.3757,-,-0.4781,0.911204,0.3422
-0.4261,0.3474,-2.533,0.925719,0.011177,0.040953,-0.508859,-0.194479,0.5404,0.4285,0.4566,4.4218,-,-0.4261,0.925719,0.3474
-0.3988,0.3503,-3.927,0.924822,0.011159,0.063489,-0.677652,-0.298881,0.5404,0.4257,0.5136,5.0574,-,-0.3988,0.924822,0.3503
-0.3939,0.3515,-1.411,0.924889,0.011168,0.022784,-0.607551,-0.253439,0.5415,0.4218,0.4858,5.1717,-,-0.3939,0.924889,0.3515
-0.3842,0.3539,-2.075,0.926746,0.011191,0.033569,-0.499249,-0.1964,0.543,0.4157,0.4595,5.402,-,-0.3842,0.926746,0.3539
-0.37,0.3575,-2.361,0.92762,0.011212,0.03824,-0.491474,-0.196359,0.5462,0.4055,0.4605,5.7505,-,-0.37,0.92762,0.3575
-0.3516,0.3621,-2.509,0.927272,0.011232,0.040634,-0.483397,-0.197297,0.551,0.3907,0.4625,6.2203,-,-0.3516,0.927272,0.3621
-0.3295,0.3676,-2.652,0.925946,0.011257,0.042882,-0.473663,-0.198185,0.5573,0.3713,0.4646,6.8135,-,-0.3295,0.925946,0.3676
-0.3042,0.374,-2.808,0.92362,0.011286,0.045302,-0.462502,-0.198939,0.5649,0.3467,0.467,7.5304,-,-0.3042,0.92362,0.374
-0.2763,0.3809,-2.979,0.920068,0.011333,0.047877,-0.450098,-0.19942,0.5738,0.3137,0.4696,8.3679,-,-0.2763,0.920068,0.3809
-0.2465,0.3884,-3.159,0.9149,0.01145,0.050496,-0.436454,-0.199373,0.5837,0.2635,0.4722,9.3182,-,-0.2465,0.9149,0.3884
-0.2156,0.3961,-3.326,0.907401,0.0117,0.052733,-0.421205,-0.198301,0.5942,0.1833,0.4746,10.3678,-,-0.2156,0.907401,0.3961
-0.1988,0.4,-2.856,0.903123,0.011829,0.04505,-0.41237,-0.196681,0.5997,0.1448,0.475,10.9766,-,-0.1988,0.903123,0.4
-0.1939,0.4,-3.402,0.906622,0.011781,0.05389,-0.415209,-0.198405,0.5987,0.1544,0.4758,11.1539,-,-0.1939,0.906622,0.4
-0.1842,0.4,-3.422,0.910646,0.01168,0.054448,-0.417439,-0.199476,0.5976,0.1777,0.4757,11.5091,-,-0.1842,0.910646,0.4
-0.17,0.4,-3.396,0.915021,0.01156,0.054298,-0.419853,-0.200553,0.5964,0.2055,0.4754,12.0426,-,-0.17,0.915021,0.4
-0.1516,0.4,-3.36,0.9195,0.011437,0.053991,-0.422276,-0.201573,0.5953,0.234,0.475,12.7539,-,-0.1516,0.9195,0.4
-0.1295,0.4,-3.324,0.923786,0.011353,0.05366,-0.42452,-0.202471,0.594,0.2569,0.4746,13.6408,-,-0.1295,0.923786,0.4
-0.1042,0.4,-3.291,0.927581,0.011308,0.053334,-0.426438,-0.203203,0.5929,0.2733,0.4742,14.6972,-,-0.1042,0.927581,0.4
-0.0763,0.4,-3.262,0.930639,0.011272,0.053043,-0.427938,-0.20375,0.592,0.2865,0.4738,15.9126,-,-0.0763,0.930639,0.4
-0.0465,0.4,-3.242,0.932783,0.011262,0.052844,-0.42897,-0.204123,0.5913,0.2931,0.4735,17.27,-,-0.0465,0.932783,0.4
-0.0156,0.4,-3.232,0.933885,0.011267,0.052737,-0.429496,-0.204304,0.5909,0.2943,0.4734,18.7457,-,-0.0156,0.933885,0.4
0.0156,0.4,-3.232,0.933885,0.011267,0.052737,-0.429496,-0.204304,0.5909,0.2943,0.4734,18.7457,-,0.0156,0.933885,0.4
0.0465,0.4,-3.242,0.932783,0.011262,0.052844,-0.42897,-0.204123,0.5913,0.2931,0.4735,17.27,-,0.0465,0.932783,0.4
0.0763,0.4,-3.262,0.930639,0.011272,0.053043,-0.427938,-0.20375,0.592,0.2865,0.4738,15.9126,-,0.0763,0.930639,0.4
0.1042,0.4,-3.291,0.927581,0.011308,0.053334,-0.426438,-0.203203,0.5929,0.2733,0.4742,14.6972,-,0.1042,0.927581,0.4
0.1295,0.4,-3.324,0.923786,0.011353,0.05366,-0.42452,-0.202471,0.594,0.2569,0.4746,13.6408,-,0.1295,0.923786,0.4
0.1516,0.4,-3.36,0.9195,0.011437,0.053991,-0.422276,-0.201573,0.5953,0.234,0.475,12.7539,-,0.1516,0.9195,0.4
0.17,0.4,-3.396,0.915021,0.01156,0.054298,-0.419853,-0.200553,0.5964,0.2055,0.4754,12.0426,-,0.17,0.915021,0.4
0.1842,0.4,-3.422,0.910646,0.01168,0.054448,-0.417439,-0.199476,0.5976,0.1777,0.4757,11.5091,-,0.1842,0.910646,0.4
0.1939,0.4,-3.402,0.906622,0.011781,0.05389,-0.415209,-0.198405,0.5987,0.1544,0.4758,11.1539,-,0.1939,0.906622,0.4
0.1988,0.4,-2.856,0.903123,0.011829,0.04505,-0.41237,-0.196681,0.5997,0.1448,0.475,10.9766,-,0.1988,0.903123,0.4
0.2156,0.3961,-3.326,0.907401,0.011699,0.052733,-0.421205,-0.198301,0.5942,0.1834,0.4746,10.3678,-,0.2156,0.907401,0.3961
0.2465,0.3884,-3.159,0.9149,0.01145,0.050496,-0.436454,-0.199373,0.5837,0.2635,0.4722,9.3182,-,0.2465,0.9149,0.3884
0.2763,0.3809,-2.979,0.920068,0.011333,0.047877,-0.450098,-0.19942,0.5738,0.3138,0.4696,8.3679,-,0.2763,0.920068,0.3809
0.3042,0.374,-2.808,0.92362,0.011286,0.045302,-0.462502,-0.198939,0.5649,0.3467,0.467,7.5304,-,0.3042,0.92362,0.374
0.3295,0.3676,-2.652,0.925946,0.011257,0.042882,-0.473663,-0.198185,0.5573,0.3713,0.4646,6.8135,-,0.3295,0.925946,0.3676
0.3516,0.3621,-2.509,0.927272,0.011232,0.040634,-0.483397,-0.197297,0.551,0.3907,0.4625,6.2203,-,0.3516,0.927272,0.3621
0.37,0.3575,-2.361,0.92762,0.011212,0.03824,-0.491474,-0.196359,0.5462,0.4055,0.4605,5.7505,-,0.37,0.92762,0.3575
0.3842,0.3539,-2.075,0.926746,0.011191,0.033569,-0.499249,-0.1964,0.543,0.4157,0.4595,5.402,-,0.3842,0.926746,0.3539
0.3939,0.3515,-1.411,0.924889,0.011168,0.022784,-0.607551,-0.253439,0.5415,0.4218,0.4858,5.1717,-,0.3939,0.924889,0.3515
0.3988,0.3503,-3.927,0.924822,0.011158,0.063489,-0.677652,-0.298881,0.5404,0.4258,0.5136,5.0574,-,0.3988,0.924822,0.3503
0.4261,0.3474,-2.533,0.925719,0.011177,0.040953,-0.508859,-0.194479,0.5404,0.4285,0.4566,4.4218,-,0.4261,0.925719,0.3474
0.4781,0.3422,-2.6,0.911204,0.011192,0.041378,-0.504904,-0.192587,0.5475,0.4207,0.4606,3.3757,-,0.4781,0.911204,0.3422
0.5292,0.3371,-2.7,0.892769,0.011168,0.042104,-0.502373,-0.19073,0.5552,0.4172,0.4637,2.4987,-,0.5292,0.892769,0.3371
0.5789,0.3321,-2.831,0.870358,0.011149,0.04304,-0.497827,-0.188446,0.5631,0.413,0.4674,1.7853,-,0.5789,0.870358,0.3321
0.6267,0.3273,-2.995,0.84331,0.011166,0.044125,-0.490523,-0.185569,0.5698,0.4052,0.4719,1.2244,-,0.6267,0.84331,0.3273
0.6719,0.3228,-3.2,0.810857,0.011677,0.045328,-0.479712,-0.181871,0.524,0.3505,0.4772,0.8001,-,0.6719,0.810857,0.3228
0.7142,0.3186,-3.453,0.772142,0.012385,0.046588,-0.464532,-0.177041,0.4678,0.2828,0.4836,0.4932,-,0.7142,0.772142,0.3186
0.7531,0.3147,-3.76,0.726197,0.012921,0.04772,-0.444088,-0.170703,0.4123,0.2312,0.4911,0.2829,-,0.7531,0.726197,0.3147
0.788,0.3112,-4.13,0.672066,0.013308,0.048531,-0.417585,-0.16245,0.3659,0.166,0.4999,0.1482,-,0.788,0.672066,0.3112
0.8188,0.3081,-4.577,0.608829,0.013813,0.048735,-0.38455,-0.151918,0.3205,0.1069,0.5101,0.0688,-,0.8188,0.608829,0.3081
0.8449,0.3055,-5.114,0.535683,0.014585,0.04794,-0.345356,-0.139022,0.2879,0.0237,0.5218,0.027,-,0.8449,0.535683,0.3055
0.8662,0.3034,-5.764,0.452085,0.015163,0.045634,-0.302448,-0.124502,0.2581,0.0116,0.5355,0.0082,-,0.8662,0.452085,0.3034
0.8823,0.3018,-6.558,0.357993,0.015797,0.041153,-0.263952,-0.111542,0.2362,0.0076,0.5525,0.0016,-,0.8823,0.357993,0.3018
0.8932,0.3007,-7.518,0.254574,0.017334,0.033596,-0.256049,-0.111892,0.2241,0.0067,0.5753,0.0001,-,0.8932,0.254574,0.3007
0.8986,0.3001,-8.912,0.150191,0.028905,0.02355,-0.237281,-0.100692,0.2396,0.0139,0.5629,0,-,0.8986,0.150191,0.3001
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Main Wing Cp Coefficients,,,,,,,,,,,,,,,
Panel,CtrlPt.x,CtrlPt.y,CtrlPt.z,Nx,Ny,Nz,Area,Cp,,,,,,,
Main WingCp Coefficients,,,,,,,,,,,,,,,
Strip 1,,,,,,,,,,,,,,,
15,   3.484e-01,-8.99E-01,   5.051e-04,-0.294,0.018,-0.956,   9.400e-06,-1.9447,,,,,,,
16,   3.420e-01,-8.99E-01,   2.170e-03,-0.233,0.014,-0.972,   2.731e-05,-2.0243,,,,,,,
17,   3.293e-01,-8.99E-01,   4.477e-03,-0.145,0.009,-0.989,   4.342e-05,-1.365,,,,,,,
18,   3.109e-01,-8.99E-01,   6.267e-03,-0.061,0.005,-0.998,   5.761e-05,-0.6578,,,,,,,
19,   2.877e-01,-8.99E-01,   6.972e-03,-0.005,0.003,-1,   6.952e-05,-0.2702,,,,,,,
20,   2.607e-01,-8.99E-01,   6.420e-03,0.043,0.001,-0.999,   7.857e-05,-0.1025,,,,,,,
21,   2.310e-01,-8.99E-01,   4.521e-03,0.083,0,-0.997,   8.434e-05,-0.039,,,,,,,
22,   2.000e-01,-8.99E-01,   1.516e-03,0.109,-0.001,-0.994,   8.644e-05,-0.026,,,,,,,
23,   1.690e-01,-8.99E-01,-2.08E-03,0.121,-0.001,-0.993,   8.467e-05,-0.0403,,,,,,,
24,   1.393e-01,-8.99E-01,-5.56E-03,0.112,-0.001,-0.994,   7.899e-05,-0.0742,,,,,,,
25,   1.123e-01,-8.99E-01,-8.06E-03,0.07,-0.001,-0.998,   6.969e-05,-0.1163,,,,,,,
26,   8.911e-02,-8.99E-01,-8.95E-03,0,-0.003,-1,   5.750e-05,-0.1532,,,,,,,
27,   7.077e-02,-8.99E-01,-8.24E-03,-0.089,-0.006,-0.996,   4.314e-05,-0.1982,,,,,,,
28,   5.808e-02,-8.99E-01,-6.31E-03,-0.246,-0.011,-0.969,   2.740e-05,-0.361,,,,,,,
29,   5.160e-02,-8.99E-01,-2.76E-03,-0.816,-0.033,-0.577,   1.556e-05,0.2416,,,,,,,
30,   5.160e-02,-8.99E-01,   4.358e-03,-0.946,-0.038,0.323,   2.779e-05,0.3452,,,,,,,
31,   5.808e-02,-8.99E-01,   1.441e-02,-0.735,-0.031,0.678,   3.919e-05,-0.2159,,,,,,,
32,   7.077e-02,-8.99E-01,   2.425e-02,-0.504,-0.024,0.863,   4.977e-05,-0.4786,,,,,,,
33,   8.911e-02,-8.99E-01,   3.229e-02,-0.313,-0.019,0.949,   6.056e-05,-0.5315,,,,,,,
34,   1.123e-01,-8.99E-01,   3.780e-02,-0.158,-0.015,0.987,   7.042e-05,-0.4979,,,,,,,
35,   1.393e-01,-8.99E-01,   4.028e-02,-0.031,-0.014,0.999,   7.855e-05,-0.4347,,,,,,,
36,   1.690e-01,-8.99E-01,   3.983e-02,0.058,-0.013,0.998,   8.420e-05,-0.3752,,,,,,,
37,   2.000e-01,-8.99E-01,   3.699e-02,0.123,-0.013,0.992,   8.659e-05,-0.342,,,,,,,
38,   2.310e-01,-8.99E-01,   3.237e-02,0.172,-0.014,0.985,   8.533e-05,-0.3415,,,,,,,
39,   2.607e-01,-8.99E-01,   2.661e-02,0.21,-0.015,0.978,   8.030e-05,-0.392,,,,,,,
40,   2.877e-01,-8.99E-01,   2.037e-02,0.242,-0.016,0.97,   7.166e-05,-0.553,,,,,,,
41,   3.109e-01,-8.99E-01,   1.423e-02,0.273,-0.017,0.962,   5.978e-05,-0.9681,,,,,,,
42,   3.293e-01,-8.99E-01,   8.609e-03,0.319,-0.02,0.948,   4.534e-05,-1.7723,,,,,,,
43,   3.420e-01,-8.99E-01,   3.774e-03,0.413,-0.025,0.91,   2.916e-05,-2.8666,,,,,,,
44,   3.484e-01,-8.99E-01,   7.881e-04,0.433,-0.026,0.901,   9.969e-06,-3.5705,,,,,,,
Strip 2,,,,,,,,,,,,,,,
45,   3.488e-01,-8.93E-01,   5.060e-04,-0.294,0.018,-0.956,   2.815e-05,-0.8459,,,,,,,
46,   3.423e-01,-8.93E-01,   2.174e-03,-0.233,0.014,-0.972,   8.177e-05,-0.839,,,,,,,
47,   3.296e-01,-8.93E-01,   4.486e-03,-0.145,0.009,-0.989,   1.300e-04,-0.5577,,,,,,,
48,   3.112e-01,-8.93E-01,   6.278e-03,-0.061,0.005,-0.998,   1.725e-04,-0.2873,,,,,,,
49,   2.880e-01,-8.93E-01,   6.985e-03,-0.005,0.003,-1,   2.082e-04,-0.122,,,,,,,
50,   2.609e-01,-8.93E-01,   6.432e-03,0.043,0.001,-0.999,   2.353e-04,-0.0383,,,,,,,
51,   2.312e-01,-8.93E-01,   4.529e-03,0.083,0,-0.997,   2.526e-04,-0.0068,,,,,,,
52,   2.001e-01,-8.93E-01,   1.518e-03,0.109,-0.001,-0.994,   2.589e-04,-0.0092,,,,,,,
53,   1.690e-01,-8.93E-01,-2.08E-03,0.121,-0.001,-0.993,   2.536e-04,-0.0349,,,,,,,
54,   1.393e-01,-8.93E-01,-5.57E-03,0.112,-0.001,-0.994,   2.365e-04,-0.0823,,,,,,,
55,   1.122e-01,-8.93E-01,-8.07E-03,0.07,-0.001,-0.998,   2.087e-04,-0.1396,,,,,,,
56,   8.897e-02,-8.93E-01,-8.96E-03,0,-0.003,-1,   1.722e-04,-0.1888,,,,,,,
57,   7.059e-02,-8.93E-01,-8.26E-03,-0.089,-0.006,-0.996,   1.292e-04,-0.248,,,,,,,
58,   5.788e-02,-8.93E-01,-6.32E-03,-0.246,-0.011,-0.969,   8.205e-05,-0.4704,,,,,,,
59,   5.138e-02,-8.93E-01,-2.76E-03,-0.816,-0.033,-0.577,   4.659e-05,0.2493,,,,,,,
60,   5.138e-02,-8.93E-01,   4.366e-03,-0.946,-0.038,0.323,   8.320e-05,0.6394,,,,,,,
61,   5.788e-02,-8.93E-01,   1.444e-02,-0.735,-0.031,0.678,   1.174e-04,-0.061,,,,,,,
62,   7.059e-02,-8.93E-01,   2.429e-02,-0.504,-0.024,0.863,   1.490e-04,-0.4826,,,,,,,
63,   8.897e-02,-8.93E-01,   3.235e-02,-0.313,-0.019,0.949,   1.813e-04,-0.597,,,,,,,
64,   1.122e-01,-8.93E-01,   3.786e-02,-0.158,-0.015,0.987,   2.109e-04,-0.5784,,,,,,,
65,   1.393e-01,-8.93E-01,   4.035e-02,-0.031,-0.014,0.999,   2.352e-04,-0.5021,,,,,,,
66,   1.690e-01,-8.93E-01,   3.990e-02,0.058,-0.013,0.998,   2.521e-04,-0.4165,,,,,,,
67,   2.001e-01,-8.93E-01,   3.706e-02,0.123,-0.013,0.992,   2.593e-04,-0.3569,,,,,,,
68,   2.312e-01,-8.93E-01,   3.243e-02,0.172,-0.014,0.985,   2.555e-04,-0.3312,,,,,,,
69,   2.609e-01,-8.93E-01,   2.666e-02,0.21,-0.015,0.978,   2.405e-04,-0.3532,,,,,,,
70,   2.880e-01,-8.93E-01,   2.041e-02,0.242,-0.016,0.97,   2.146e-04,-0.4581,,,,,,,
71,   3.112e-01,-8.93E-01,   1.425e-02,0.273,-0.017,0.962,   1.790e-04,-0.7061,,,,,,,
72,   3.296e-01,-8.93E-01,   8.624e-03,0.319,-0.02,0.948,   1.358e-04,-1.1199,,,,,,,
73,   3.423e-01,-8.93E-01,   3.781e-03,0.413,-0.025,0.91,   8.733e-05,-1.5624,,,,,,,
74,   3.488e-01,-8.93E-01,   7.895e-04,0.433,-0.026,0.901,   2.985e-05,-1.8187,,,,,,,
Strip 3,,,,,,,,,,,,,,,
75,   3.494e-01,-8.82E-01,   5.078e-04,-0.294,0.018,-0.956,   4.674e-05,0.0141,,,,,,,
76,   3.429e-01,-8.82E-01,   2.182e-03,-0.233,0.014,-0.972,   1.358e-04,0.0286,,,,,,,
77,   3.301e-01,-8.82E-01,   4.502e-03,-0.145,0.009,-0.989,   2.159e-04,0.0495,,,,,,,
78,   3.117e-01,-8.82E-01,   6.301e-03,-0.061,0.005,-0.998,   2.864e-04,0.0471,,,,,,,
79,   2.884e-01,-8.82E-01,   7.010e-03,-0.005,0.003,-1,   3.457e-04,0.0499,,,,,,,
80,   2.612e-01,-8.82E-01,   6.455e-03,0.043,0.001,-0.999,   3.907e-04,0.0552,,,,,,,
81,   2.314e-01,-8.82E-01,   4.546e-03,0.083,0,-0.997,   4.194e-04,0.0465,,,,,,,
82,   2.002e-01,-8.82E-01,   1.524e-03,0.109,-0.001,-0.994,   4.298e-04,0.0206,,,,,,,
83,   1.690e-01,-8.82E-01,-2.09E-03,0.121,-0.001,-0.993,   4.210e-04,-0.0229,,,,,,,
84,   1.392e-01,-8.82E-01,-5.59E-03,0.112,-0.001,-0.994,   3.928e-04,-0.0882,,,,,,,
85,   1.120e-01,-8.82E-01,-8.10E-03,0.07,-0.001,-0.998,   3.465e-04,-0.1625,,,,,,,
86,   8.867e-02,-8.82E-01,-8.99E-03,0,-0.003,-1,   2.859e-04,-0.222,,,,,,,
87,   7.023e-02,-8.82E-01,-8.29E-03,-0.089,-0.006,-0.996,   2.145e-04,-0.2814,,,,,,,
88,   5.747e-02,-8.82E-01,-6.34E-03,-0.246,-0.011,-0.969,   1.362e-04,-0.507,,,,,,,
89,   5.095e-02,-8.82E-01,-2.77E-03,-0.816,-0.033,-0.577,   7.736e-05,0.2842,,,,,,,
90,   5.095e-02,-8.82E-01,   4.381e-03,-0.946,-0.038,0.323,   1.382e-04,0.8581,,,,,,,
91,   5.747e-02,-8.82E-01,   1.449e-02,-0.735,-0.031,0.678,   1.949e-04,0.0816,,,,,,,
92,   7.023e-02,-8.82E-01,   2.438e-02,-0.504,-0.024,0.863,   2.475e-04,-0.4903,,,,,,,
93,   8.867e-02,-8.82E-01,   3.247e-02,-0.313,-0.019,0.949,   3.011e-04,-0.6828,,,,,,,
94,   1.120e-01,-8.82E-01,   3.800e-02,-0.158,-0.015,0.987,   3.501e-04,-0.6866,,,,,,,
95,   1.392e-01,-8.82E-01,   4.050e-02,-0.031,-0.014,0.999,   3.905e-04,-0.5979,,,,,,,
96,   1.690e-01,-8.82E-01,   4.005e-02,0.058,-0.013,0.998,   4.187e-04,-0.4829,,,,,,,
97,   2.002e-01,-8.82E-01,   3.719e-02,0.123,-0.013,0.992,   4.306e-04,-0.3915,,,,,,,
98,   2.314e-01,-8.82E-01,   3.255e-02,0.172,-0.014,0.985,   4.243e-04,-0.3328,,,,,,,
99,   2.612e-01,-8.82E-01,   2.676e-02,0.21,-0.015,0.978,   3.993e-04,-0.311,,,,,,,
100,   2.884e-01,-8.82E-01,   2.048e-02,0.242,-0.016,0.97,   3.563e-04,-0.3301,,,,,,,
101,   3.117e-01,-8.82E-01,   1.430e-02,0.273,-0.017,0.962,   2.972e-04,-0.3873,,,,,,,
102,   3.301e-01,-8.82E-01,   8.656e-03,0.319,-0.02,0.948,   2.254e-04,-0.4652,,,,,,,
103,   3.429e-01,-8.82E-01,   3.794e-03,0.413,-0.025,0.91,   1.450e-04,-0.4226,,,,,,,
104,   3.494e-01,-8.82E-01,   7.924e-04,0.433,-0.026,0.901,   4.957e-05,-0.3739,,,,,,,
Strip 4,,,,,,,,,,,,,,,
105,   3.504e-01,-8.66E-01,   5.106e-04,-0.294,0.018,-0.956,   6.506e-05,0.208,,,,,,,
106,   3.438e-01,-8.66E-01,   2.194e-03,-0.233,0.014,-0.972,   1.890e-04,0.224,,,,,,,
107,   3.310e-01,-8.66E-01,   4.526e-03,-0.145,0.009,-0.989,   3.006e-04,0.2397,,,,,,,
108,   3.125e-01,-8.66E-01,   6.335e-03,-0.061,0.005,-0.998,   3.987e-04,0.211,,,,,,,
109,   2.890e-01,-8.66E-01,   7.048e-03,-0.005,0.003,-1,   4.812e-04,0.1727,,,,,,,
110,   2.617e-01,-8.66E-01,   6.490e-03,0.043,0.001,-0.999,   5.438e-04,0.1403,,,,,,,
111,   2.317e-01,-8.66E-01,   4.570e-03,0.083,0,-0.997,   5.838e-04,0.1042,,,,,,,
112,   2.003e-01,-8.66E-01,   1.532e-03,0.109,-0.001,-0.994,   5.983e-04,0.0578,,,,,,,
113,   1.690e-01,-8.66E-01,-2.10E-03,0.121,-0.001,-0.993,   5.861e-04,-0.0034,,,,,,,
114,   1.390e-01,-8.66E-01,-5.62E-03,0.112,-0.001,-0.994,   5.468e-04,-0.085,,,,,,,
115,   1.117e-01,-8.66E-01,-8.15E-03,0.07,-0.001,-0.998,   4.823e-04,-0.173,,,,,,,
116,   8.824e-02,-8.66E-01,-9.04E-03,0,-0.003,-1,   3.980e-04,-0.2386,,,,,,,
117,   6.970e-02,-8.66E-01,-8.33E-03,-0.089,-0.006,-0.996,   2.986e-04,-0.2935,,,,,,,
118,   5.687e-02,-8.66E-01,-6.37E-03,-0.246,-0.011,-0.969,   1.897e-04,-0.5133,,,,,,,
119,   5.032e-02,-8.66E-01,-2.79E-03,-0.816,-0.033,-0.577,   1.077e-04,0.2879,,,,,,,
120,   5.032e-02,-8.66E-01,   4.405e-03,-0.946,-0.038,0.323,   1.923e-04,0.9034,,,,,,,
121,   5.687e-02,-8.66E-01,   1.457e-02,-0.735,-0.031,0.678,   2.712e-04,0.0996,,,,,,,
122,   6.970e-02,-8.66E-01,   2.451e-02,-0.504,-0.024,0.863,   3.445e-04,-0.5404,,,,,,,
123,   8.824e-02,-8.66E-01,   3.264e-02,-0.313,-0.019,0.949,   4.192e-04,-0.7788,,,,,,,
124,   1.117e-01,-8.66E-01,   3.820e-02,-0.158,-0.015,0.987,   4.874e-04,-0.7975,,,,,,,
125,   1.390e-01,-8.66E-01,   4.072e-02,-0.031,-0.014,0.999,   5.437e-04,-0.7002,,,,,,,
126,   1.690e-01,-8.66E-01,   4.026e-02,0.058,-0.013,0.998,   5.828e-04,-0.5646,,,,,,,
127,   2.003e-01,-8.66E-01,   3.739e-02,0.123,-0.013,0.992,   5.994e-04,-0.4491,,,,,,,
128,   2.317e-01,-8.66E-01,   3.272e-02,0.172,-0.014,0.985,   5.906e-04,-0.3631,,,,,,,
129,   2.617e-01,-8.66E-01,   2.690e-02,0.21,-0.015,0.978,   5.558e-04,-0.3056,,,,,,,
130,   2.890e-01,-8.66E-01,   2.059e-02,0.242,-0.016,0.97,   4.960e-04,-0.275,,,,,,,
131,   3.125e-01,-8.66E-01,   1.438e-02,0.273,-0.017,0.962,   4.138e-04,-0.2724,,,,,,,
132,   3.310e-01,-8.66E-01,   8.702e-03,0.319,-0.02,0.948,   3.138e-04,-0.2863,,,,,,,
133,   3.438e-01,-8.66E-01,   3.815e-03,0.413,-0.025,0.91,   2.019e-04,-0.152,,,,,,,
134,   3.504e-01,-8.66E-01,   7.966e-04,0.433,-0.026,0.901,   6.900e-05,-0.0535,,,,,,,
Strip 5,,,,,,,,,,,,,,,
135,   3.516e-01,-8.45E-01,   5.141e-04,-0.294,0.018,-0.956,   8.300e-05,0.2835,,,,,,,
136,   3.450e-01,-8.45E-01,   2.209e-03,-0.233,0.014,-0.972,   2.411e-04,0.2994,,,,,,,
